CODIGO,DESCRIPCION,LATITUD,LONGITUD,DIRECION,CP,POBLACION,PROVINCIA,PAIS,CERCANIAS,FEVE,COMUN
1003,ARAHAL,37.268081,-5.548514,"C/ Virgen de los Dolores, S/N",41600,ARAHAL,SEVILLA,ESPAÑA,NO,NO,
1005,MARCHENA,37.334282,-5.425519,"Avda. Maestro Santos Rúano, 8",41620,MARCHENA,SEVILLA,ESPAÑA,NO,NO,
1007,OSUNA,37.233899,-5.115026,"Avda. Estación Ferrocarril, S/N",41640,OSUNA,SEVILLA,ESPAÑA,NO,NO,
1009,PEDRERA,37.222396,-4.893519,"C/ Manuel Aranda, 3",41566,PEDRERA,SEVILLA,ESPAÑA,NO,NO,
2002,PUENTE GENIL-HERRERA,37.3579,-4.821638,Ctra. A-318 - Km. 9 - Entre los Pueblos de Puente Genil (Cordoba) y Herrera (Sevilla),14500,PUENTE GENIL,CÓRDOBA,ESPAÑA,NO,NO,PTE G
2003,ANTEQUERA-SANTA ANA,37.069881,-4.719014,"Ctra. Ma - 5406 - Estación Ferrocarril, S/N",29540,ANTEQUERA,MÁLAGA,ESPAÑA,NO,NO,ANTEQ
2030,ANTEQUERA AV,37.0334437,-4.5612901,Ctra A-7281 Antigua Carretera de Córdoba S/N,29200,ANTEQUERA,MÁLAGA,ESPAÑA,NO,NO,ANTEQ
3001,MENGÍBAR-ARTICHUELA,37.978219,-3.803308,"C/ Camino Estación Ferrocarril, S/N",23620,MENGÍBAR,JAÉN,ESPAÑA,NO,NO,
3003,GRANENA (APD-CGD),37.847712,-3.765399,,,JAÉN,JAÉN,ESPAÑA,NO,NO,
3100,JAÉN,37.779827,-3.790798,"Pla. de Jaen Por la Paz, 1",23007,JAÉN,JAÉN,ESPAÑA,NO,NO,
3208,CUENCA-FERNANDO ZÓBEL,40.035192,-2.14441,"Avda. Cerro de la Estrella, S/N --- N-320 - Circunvalacion de Cuenca",16004,CUENCA,CUENCA,ESPAÑA,NO,NO,CUENC
3213,REQUENA-UTIEL,39.519834,-1.127601,Autovia A3 - Salida 285,46340,REQUENA,VALENCIA/VALÈNCIA,ESPAÑA,NO,NO,
3216,VALÈNCIA-JOAQUÍN SOROLLA,39.459051,-0.382923,"C/ San Vicente Martir, 171",46007,VALENCIA,VALENCIA/VALÈNCIA,ESPAÑA,SI,NO,VALEN
3309,VILLENA ALTA VELOCIDAD,38.585302,-0.873295,"Partida de San Juan, 182",3400,VILLENA,ALICANTE/ALACANT,ESPAÑA,SI,NO,
3410,ELCHE/ELX AV,38.24551,-0.76675,"Camí de Mallorca, S/N --- (Partida de Matola, Polígono 1, - 144 - Matola 1144)",3006,ELCHE/ELX,ALICANTE/ALACANT,ESPAÑA,SI,NO,
