MODELO,PROPOSITO,ANCHO VIA,VELOCIDAD MAXIMA,MOTORES,POTENCIA TOTAL,TENSION,MASA SIN CARGA,LONGITUD TOTAL,PLAZAS SENTADAS,SEÑALIZACION,CONSTRUCTOR,UNIDADES CONSTRUIDAS,FOTOS,VIDEO,PRESTACIONES,FICHA TECNICA
AVE Serie 100,Pasajeros - Alta Velocidad,"1,435 m",300 Km/h,8 asíncronos,8800 KW,25 KV,"329,6 T","200,15 m",347,LZB - ASFA,Alstom,22,http://www.renfe.com/viajeros/nuestros_trenes/ave_s100r.html,http://www.renfe.com/viajeros/nuestros_trenes/aves100r_video.html,http://www.renfe.com/viajeros/nuestros_trenes/aves100r_prestaciones.html,http://www.renfe.com/viajeros/nuestros_trenes/aves100r_ficha.html
AVE Serie 102,Pasajeros - Alta Velocidad,"1,435 m",330 Km/h,8 asíncronos,8800 KW,25 KV,322 T,200 m,334,ERTMS - LZB - ASFA,Talgo - Bombardier,16,http://www.renfe.com/viajeros/nuestros_trenes/ave_s102.html,http://www.renfe.com/viajeros/nuestros_trenes/aves102_video.html,http://www.renfe.com/viajeros/nuestros_trenes/aves102_prestaciones.html,http://www.renfe.com/viajeros/nuestros_trenes/aves102_ficha.html
AVE Serie 112,Pasajeros - Alta Velocidad,"1,435 m",330 Km/h,8 asíncronos,8800 KW,25 KV,322 T,200 m,365,ERTMS - LZB - ASFA,Talgo - Bombardier,30,http://www.renfe.com/viajeros/nuestros_trenes/ave_s102.html,http://www.renfe.com/viajeros/nuestros_trenes/aves102_video.html,http://www.renfe.com/viajeros/nuestros_trenes/aves102_prestaciones.html,http://www.renfe.com/viajeros/nuestros_trenes/aves102_ficha.html
AVE Serie 103,Pasajeros - Alta Velocidad,"1,435 m",350 Km/h,16 asíncronos,8800 KW,25 KV,425 T,200 m,405,ERTMS - LZB - ASFA,Siemens,26,http://www.renfe.com/viajeros/nuestros_trenes/ave_s103.html,http://www.renfe.com/viajeros/nuestros_trenes/aves103_video.html,http://www.renfe.com/viajeros/nuestros_trenes/aves103_prestaciones.html,http://www.renfe.com/viajeros/nuestros_trenes/aves103_ficha.html
AVLO Serie 112M,Pasajeros - Alta Velocidad,"1,435 m",300 Km/h,8 asíncronos,8800 KW,25 KV,322 T,200 m,438,ERTMS - LZB - ASFA,Talgo - Bombardier,3,,,https://www.renfe.com/viajeros/AVLO/index.html,
Alvia Serie 120,Pasajeros - Larga distancia,"1,435 m - 1,668 m",250 Km/h - 220 Km/h,8 asíncronos,4400 KW,25 KV - 3 KV,247 T,"107,36 m",238,ASFA - ERTMS - AVE,CAF - Alstom,28,http://www.renfe.com/viajeros/nuestros_trenes/alvia_s120.html,http://www.renfe.com/viajeros/nuestros_trenes/alvias120_video.html,http://www.renfe.com/viajeros/nuestros_trenes/alvias120_prestaciones.html,http://www.renfe.com/viajeros/nuestros_trenes/alvias120_ficha.html
Alvia Serie 130,Pasajeros - Larga distancia,"1,435 m - 1,668 m",250 Km/h - 220 Km/h,8 asíncronos,4800 KW,25 KV - 3 KV,312 T,"184,16 m",299,ERTMS - LZB - ASFA - ATP,Talgo - Bombardier,45,http://www.renfe.com/viajeros/nuestros_trenes/alvia_s130.html,http://www.renfe.com/viajeros/nuestros_trenes/alvias130_video.html,http://www.renfe.com/viajeros/nuestros_trenes/alvias130_prestaciones.html,http://www.renfe.com/viajeros/nuestros_trenes/alvias130_ficha.html
Alvia Serie 730 (híbrido),Pasajeros - Larga distancia,"1,435 m - 1,668 m",250 Km/h - 220 Km/h - 180 Km /h,8 asíncronos + 2 MTU 12V 4000R43L,4800 KW - 4000 KW - 3600 KW,25 KV - 3 KV,384 T,186 m,262,ERTMS - LZB - ASFA-EBICAB,Talgo - Bombardier,13,http://www.renfe.com/viajeros/nuestros_trenes/alvia_s730.html,,http://www.renfe.com/viajeros/nuestros_trenes/alvias730_prestaciones.html,http://www.renfe.com/viajeros/nuestros_trenes/alvias730_ficha.html
Avant Serie 104,Pasajeros - Media distancia - Alta Velocidad,"1,435 m",250 Km /h,8 asíncronos,4000 KW,25 KV,"221,5 T","107,10 m",237,ERTMS - LZB - ASFA,CAF - Alstom,20,http://www.renfe.com/viajeros/nuestros_trenes/avant_s104.html,http://www.renfe.com/viajeros/nuestros_trenes/avant104_video.html,http://www.renfe.com/viajeros/nuestros_trenes/avant104_prestaciones.html,http://www.renfe.com/viajeros/nuestros_trenes/avant104_ficha.html
Avant Serie 114,Pasajeros - Media distancia - Alta Velocidad,"1,435 m",250 Km /h,8 asíncronos,4000 KW,25 KV,"228,8 T","105,52 m",238,ERTMS - LZB - ASFA,CAF - Alstom,13,http://www.renfe.com/viajeros/nuestros_trenes/avant_s114.html,http://www.renfe.com/viajeros/nuestros_trenes/avant114_video.html,http://www.renfe.com/viajeros/nuestros_trenes/avant114_prestaciones.html,http://www.renfe.com/viajeros/nuestros_trenes/avant114_ficha.html
Avant Serie 121,Pasajeros - Media distancia - Alta Velocidad,"1,435 m - 1,668 m",250 Km/h - 220 Km/h,8 asíncronos,4000 KW - 2500 KW,25 KV - 3 KV,"251,3 T","107,36 m",282,ASFA - ERTMS - AVE,CAF - Alstom,29,http://www.renfe.com/viajeros/nuestros_trenes/avant_s121.html,,http://www.renfe.com/viajeros/nuestros_trenes/avant121_prestaciones.html,http://www.renfe.com/viajeros/nuestros_trenes/avant121_ficha.html
