CODIGO_ESTACION,NOMBRE_ESTACION,NUCLEO_CERCANIAS,TRAMO_HORARIO,VIAJEROS_SUBIDOS,VIAJEROS_BAJADOS
4040,ZARAGOZA DELICIAS,ZARAGOZA,06:00 - 06:30,3,0
4040,ZARAGOZA DELICIAS,ZARAGOZA,07:00 - 07:30,3,10
4040,ZARAGOZA DELICIAS,ZARAGOZA,07:30 - 08:00,4,21
4040,ZARAGOZA DELICIAS,ZARAGOZA,08:00 - 08:30,0,15
4040,ZARAGOZA DELICIAS,ZARAGOZA,08:30 - 09:00,37,19
4040,ZARAGOZA DELICIAS,ZARAGOZA,09:00 - 09:30,4,6
4040,ZARAGOZA DELICIAS,ZARAGOZA,09:30 - 10:00,5,10
4040,ZARAGOZA DELICIAS,ZARAGOZA,10:00 - 10:30,5,6
4040,ZARAGOZA DELICIAS,ZARAGOZA,10:30 - 11:00,1,2
4040,ZARAGOZA DELICIAS,ZARAGOZA,11:00 - 11:30,13,5
4040,ZARAGOZA DELICIAS,ZARAGOZA,11:30 - 12:00,2,0
4040,ZARAGOZA DELICIAS,ZARAGOZA,12:00 - 12:30,2,1
4040,ZARAGOZA DELICIAS,ZARAGOZA,12:30 - 13:00,7,3
4040,ZARAGOZA DELICIAS,ZARAGOZA,13:00 - 13:30,10,2
4040,ZARAGOZA DELICIAS,ZARAGOZA,13:30 - 14:00,3,5
4040,ZARAGOZA DELICIAS,ZARAGOZA,14:00 - 14:30,4,30
4040,ZARAGOZA DELICIAS,ZARAGOZA,14:30 - 15:00,1,3
4040,ZARAGOZA DELICIAS,ZARAGOZA,15:00 - 15:30,4,1
4040,ZARAGOZA DELICIAS,ZARAGOZA,15:30 - 16:00,3,6
4040,ZARAGOZA DELICIAS,ZARAGOZA,16:00 - 16:30,8,8
4040,ZARAGOZA DELICIAS,ZARAGOZA,16:30 - 17:00,5,2
4040,ZARAGOZA DELICIAS,ZARAGOZA,17:00 - 17:30,6,5
4040,ZARAGOZA DELICIAS,ZARAGOZA,17:30 - 18:00,5,10
4040,ZARAGOZA DELICIAS,ZARAGOZA,18:00 - 18:30,7,1
4040,ZARAGOZA DELICIAS,ZARAGOZA,18:30 - 19:00,3,8
4040,ZARAGOZA DELICIAS,ZARAGOZA,19:00 - 19:30,1,4
4040,ZARAGOZA DELICIAS,ZARAGOZA,19:30 - 20:00,2,3
4040,ZARAGOZA DELICIAS,ZARAGOZA,20:00 - 20:30,8,3
4040,ZARAGOZA DELICIAS,ZARAGOZA,20:30 - 21:00,9,7
4040,ZARAGOZA DELICIAS,ZARAGOZA,21:00 - 21:30,0,5
4040,ZARAGOZA DELICIAS,ZARAGOZA,21:30 - 22:00,2,1
4040,ZARAGOZA DELICIAS,ZARAGOZA,22:00 - 22:30,3,2
4040,ZARAGOZA DELICIAS,ZARAGOZA,22:30 - 23:00,3,0
4040,ZARAGOZA DELICIAS,ZARAGOZA,23:00 - 23:30,0,0
5102,SAN XOAN,GALICIA AM,06:30 - 07:00,0,0
5102,SAN XOAN,GALICIA AM,07:30 - 08:00,0,1
5102,SAN XOAN,GALICIA AM,08:00 - 08:30,2,2
5102,SAN XOAN,GALICIA AM,08:30 - 09:00,0,0
5102,SAN XOAN,GALICIA AM,09:00 - 09:30,1,0
5102,SAN XOAN,GALICIA AM,09:30 - 10:00,0,2
5102,SAN XOAN,GALICIA AM,10:00 - 10:30,0,0
5102,SAN XOAN,GALICIA AM,10:30 - 11:00,1,0
5102,SAN XOAN,GALICIA AM,11:00 - 11:30,0,1
5102,SAN XOAN,GALICIA AM,11:30 - 12:00,1,0
5102,SAN XOAN,GALICIA AM,12:00 - 12:30,0,2
5102,SAN XOAN,GALICIA AM,12:30 - 13:00,0,0
5102,SAN XOAN,GALICIA AM,13:00 - 13:30,1,0
5102,SAN XOAN,GALICIA AM,13:30 - 14:00,0,0
5102,SAN XOAN,GALICIA AM,14:00 - 14:30,0,1
5102,SAN XOAN,GALICIA AM,14:30 - 15:00,0,0
5102,SAN XOAN,GALICIA AM,15:00 - 15:30,0,0
5102,SAN XOAN,GALICIA AM,15:30 - 16:00,2,4
5102,SAN XOAN,GALICIA AM,16:00 - 16:30,2,1
5102,SAN XOAN,GALICIA AM,16:30 - 17:00,1,2
5102,SAN XOAN,GALICIA AM,17:00 - 17:30,0,0
5102,SAN XOAN,GALICIA AM,17:30 - 18:00,0,0
5102,SAN XOAN,GALICIA AM,18:00 - 18:30,0,1
5102,SAN XOAN,GALICIA AM,18:30 - 19:00,0,0
5102,SAN XOAN,GALICIA AM,19:00 - 19:30,2,0
5102,SAN XOAN,GALICIA AM,19:30 - 20:00,0,2
5102,SAN XOAN,GALICIA AM,20:00 - 20:30,1,0
5102,SAN XOAN,GALICIA AM,20:30 - 21:00,0,0
5102,SAN XOAN,GALICIA AM,21:00 - 21:30,0,0
5102,SAN XOAN,GALICIA AM,21:30 - 22:00,0,1
5102,SAN XOAN,GALICIA AM,22:00 - 22:30,0,0
5103,SANTA ICIA,GALICIA AM,06:30 - 07:00,0,0
5103,SANTA ICIA,GALICIA AM,07:30 - 08:00,4,0
5103,SANTA ICIA,GALICIA AM,08:00 - 08:30,3,1
5103,SANTA ICIA,GALICIA AM,08:30 - 09:00,0,0
5103,SANTA ICIA,GALICIA AM,09:00 - 09:30,1,0
5103,SANTA ICIA,GALICIA AM,09:30 - 10:00,0,1
5103,SANTA ICIA,GALICIA AM,10:00 - 10:30,0,0
5103,SANTA ICIA,GALICIA AM,10:30 - 11:00,1,0
